txn_id,txn_timestamp,from_acct_id,to_acct_id,txn_type,amount,status,error_msg
29,2025-08-21 03:57:25,1088,3319,UPI,7875,SUCCESS,
30,2025-12-08 22:29:09,420,4072,FUND TRANSFER,410706,SUCCESS,
31,2025-01-08 21:41:42,660,,DEPOSIT,6661,SUCCESS,
32,2025-02-07 11:13:44,4370,2717,FUND TRANSFER,343332,SUCCESS,
33,2025-07-29 17:19:16,582,219,FUND TRANSFER,665757,SUCCESS,
34,2025-10-14 13:25:03,2326,1265,UPI,8438,SUCCESS,
35,2025-05-01 22:22:22,4204,,DEPOSIT,16257,SUCCESS,
36,2025-12-16 07:33:09,433,1497,UPI,6852,SUCCESS,
37,2025-11-09 06:20:13,711,,DEPOSIT,98145,SUCCESS,
38,2025-04-01 12:34:06,3521,2387,UPI,9365,SUCCESS,
39,2025-10-11 09:22:59,1288,367,FUND TRANSFER,222676,SUCCESS,
40,2025-09-05 21:01:17,3497,1599,IMPS,41431,SUCCESS,
41,2025-07-01 11:34:09,891,1445,UPI,5579,SUCCESS,
42,2025-07-09 13:04:30,2968,3076,FUND TRANSFER,999984,SUCCESS,
43,2025-10-29 14:46:18,161,672,UPI,4302,SUCCESS,
44,2025-09-08 03:53:36,1020,4239,FUND TRANSFER,920869,SUCCESS,
45,2025-08-26 17:18:51,2304,2639,UPI,5460,SUCCESS,
46,2025-07-14 09:24:11,1558,4770,FUND TRANSFER,460675,SUCCESS,
47,2025-02-20 07:38:54,699,2621,UPI,2449,SUCCESS,
48,2025-11-20 11:39:01,2152,4303,UPI,5024,SUCCESS,
49,2025-01-09 09:06:59,758,2013,IMPS,86726,SUCCESS,
50,2025-05-24 21:54:57,545,3338,FUND TRANSFER,166099,SUCCESS,
51,2025-03-30 22:31:21,2601,377,IMPS,106166,SUCCESS,
52,2025-08-24 19:28:25,3321,,DEPOSIT,13303,SUCCESS,
53,2025-06-09 12:13:14,3216,4425,UPI,8779,SUCCESS,
54,2025-10-21 03:32:36,4020,4575,UPI,7720,SUCCESS,
55,2025-12-13 22:40:58,558,435,UPI,5001,SUCCESS,
56,2025-12-02 02:00:44,3601,,WITHDRAWAL,3810,SUCCESS,
57,2025-12-21 07:51:16,4480,3354,UPI,2596,SUCCESS,
58,2025-01-12 15:42:44,3933,1454,NEFT,147326,SUCCESS,
59,2025-03-19 21:38:16,1534,2530,UPI,1097,SUCCESS,
60,2025-07-30 00:29:10,1722,,ATM WITHDRAWAL,7054,SUCCESS,
61,2025-03-26 07:30:16,1866,,ATM WITHDRAWAL,5710,SUCCESS,
62,2025-09-25 16:41:45,1951,2010,UPI,3044,SUCCESS,
63,2025-04-16 01:58:05,4500,,DEPOSIT,3259,SUCCESS,
64,2025-01-19 10:33:28,4981,729,FUND TRANSFER,316998,SUCCESS,
65,2025-04-08 01:37:08,4583,2276,FUND TRANSFER,405286,SUCCESS,
66,2025-03-04 05:44:31,1188,3511,FUND TRANSFER,85754,SUCCESS,
67,2025-08-20 04:07:19,2,3687,FUND TRANSFER,604014,SUCCESS,
68,2025-05-10 00:32:43,2896,915,FUND TRANSFER,91192,SUCCESS,
69,2025-06-17 00:20:04,1685,,ATM WITHDRAWAL,1042,SUCCESS,
70,2025-03-16 06:43:41,2020,509,FUND TRANSFER,940151,SUCCESS,
71,2025-08-24 09:37:32,4100,,ATM WITHDRAWAL,6407,SUCCESS,
72,2025-05-29 20:12:41,1726,2442,FUND TRANSFER,390314,SUCCESS,
73,2025-10-16 05:00:59,787,1500,UPI,8049,SUCCESS,
74,2025-11-05 23:36:31,769,1545,FUND TRANSFER,421404,SUCCESS,
75,2025-06-23 05:37:55,2663,4620,UPI,5830,SUCCESS,
76,2025-09-15 05:00:57,2938,1885,FUND TRANSFER,443503,SUCCESS,
77,2025-02-10 12:41:21,2969,,WITHDRAWAL,46510,SUCCESS,
78,2025-06-26 02:54:36,4947,1143,IMPS,46216,SUCCESS,
79,2025-06-29 08:28:26,1704,,WITHDRAWAL,39720,SUCCESS,
80,2025-08-13 12:51:23,634,878,UPI,5172,FAILED,Network Timeout
81,2025-05-11 03:37:09,3580,954,UPI,9366,SUCCESS,
82,2025-10-13 00:56:20,1463,,ATM WITHDRAWAL,7097,SUCCESS,
83,2025-03-05 11:49:35,2746,1102,FUND TRANSFER,213601,SUCCESS,
84,2025-06-27 14:11:23,3571,1436,FUND TRANSFER,469925,SUCCESS,
85,2025-06-28 12:24:46,4070,,ATM WITHDRAWAL,7779,SUCCESS,
86,2025-06-25 23:39:36,944,3545,IMPS,2005,SUCCESS,
87,2025-10-23 13:39:28,335,,ATM WITHDRAWAL,3233,SUCCESS,
88,2025-01-17 10:35:13,4848,4836,UPI,9119,SUCCESS,
89,2025-12-05 09:04:36,4007,4158,UPI,586,SUCCESS,
90,2025-07-09 19:53:34,4462,3155,NEFT,138769,SUCCESS,
91,2025-06-14 17:29:12,2849,4868,IMPS,95782,SUCCESS,
92,2025-10-03 07:30:46,1915,,DEPOSIT,59435,SUCCESS,
93,2025-02-25 13:36:47,1586,,DEPOSIT,88441,SUCCESS,
94,2025-05-25 20:32:48,3529,167,FUND TRANSFER,37949,SUCCESS,
95,2025-12-05 00:33:34,1895,,ATM WITHDRAWAL,5748,SUCCESS,
96,2025-05-03 22:03:38,3311,,ATM WITHDRAWAL,552,SUCCESS,
97,2025-10-09 10:32:52,1194,838,IMPS,107281,SUCCESS,
98,2025-03-31 13:05:37,1796,,WITHDRAWAL,8204,SUCCESS,
99,2025-05-26 00:50:33,4815,,DEPOSIT,95757,SUCCESS,
100,2025-06-24 00:32:10,1742,2640,NEFT,256748,SUCCESS,
101,2025-08-18 09:15:22,3227,,INTEREST CREDIT,6554,SUCCESS,
102,2025-08-15 23:10:21,1482,,ATM WITHDRAWAL,5533,SUCCESS,
103,2025-12-06 19:46:53,2507,2636,NEFT,24436,SUCCESS,
104,2025-04-09 00:41:51,4353,779,UPI,3916,SUCCESS,
105,2025-12-16 10:09:10,1934,2407,UPI,9069,SUCCESS,
106,2025-06-21 08:35:21,1358,,ATM WITHDRAWAL,3029,SUCCESS,
107,2025-04-30 18:08:35,892,426,UPI,5769,SUCCESS,
108,2025-03-16 04:58:24,2895,2306,FUND TRANSFER,746293,SUCCESS,
109,2025-05-29 00:33:16,1201,4708,FUND TRANSFER,86449,SUCCESS,
110,2025-04-09 16:25:25,986,,WITHDRAWAL,32095,SUCCESS,
111,2025-08-18 10:18:09,2393,,ATM WITHDRAWAL,530,SUCCESS,
112,2025-01-07 14:40:02,2682,,ATM WITHDRAWAL,9576,SUCCESS,
113,2025-01-11 09:16:30,4822,4150,NEFT,476557,SUCCESS,
114,2025-04-18 15:02:22,568,1720,UPI,1370,SUCCESS,
115,2025-06-26 12:07:19,4692,4299,UPI,1507,SUCCESS,
116,2025-03-26 08:53:34,3823,1825,FUND TRANSFER,585497,SUCCESS,
117,2025-07-16 13:18:57,4350,1256,FUND TRANSFER,93494,SUCCESS,
118,2025-04-21 06:40:07,2525,229,UPI,9960,SUCCESS,
119,2025-01-23 08:48:43,96,4043,UPI,936,SUCCESS,
120,2025-07-25 11:41:48,4897,,ATM WITHDRAWAL,2160,SUCCESS,
121,2025-04-28 22:48:53,948,,ATM WITHDRAWAL,1686,SUCCESS,
122,2025-07-07 10:24:16,4182,899,UPI,5051,SUCCESS,
123,2025-08-09 23:08:47,4234,1674,FUND TRANSFER,464477,SUCCESS,
124,2025-04-12 03:53:42,744,4737,NEFT,413061,SUCCESS,
125,2025-10-25 14:50:51,4002,4226,IMPS,88476,SUCCESS,
126,2025-06-26 19:47:41,526,2317,UPI,7888,SUCCESS,
127,2025-05-17 10:39:24,3320,,ATM WITHDRAWAL,561,SUCCESS,
128,2025-10-14 16:19:20,1976,,WITHDRAWAL,33243,SUCCESS,
129,2025-05-10 00:09:36,4929,2785,UPI,439,SUCCESS,
130,2025-05-10 12:55:20,1846,306,NEFT,435306,SUCCESS,
131,2025-01-31 12:45:12,169,1650,UPI,9985,SUCCESS,
132,2025-12-23 21:23:02,17,2602,IMPS,119785,SUCCESS,
133,2025-01-23 22:31:29,367,3268,UPI,4803,SUCCESS,
134,2025-10-07 07:08:23,933,,WITHDRAWAL,39245,SUCCESS,
135,2025-02-04 17:41:04,3809,3184,FUND TRANSFER,798808,SUCCESS,
136,2025-02-09 20:44:09,3002,,WITHDRAWAL,39860,SUCCESS,
137,2025-10-05 01:46:28,3442,,ATM WITHDRAWAL,7940,SUCCESS,
138,2025-01-28 15:10:29,2603,2721,IMPS,166832,SUCCESS,
139,2025-05-21 02:37:45,3473,877,UPI,2621,SUCCESS,
140,2025-05-24 09:38:28,956,,ATM WITHDRAWAL,9086,SUCCESS,
141,2025-03-03 21:01:48,1617,,ATM WITHDRAWAL,7200,SUCCESS,
142,2025-09-11 01:50:42,4447,3294,FUND TRANSFER,273236,SUCCESS,
143,2025-06-05 06:26:04,3392,195,UPI,5380,SUCCESS,
144,2025-12-20 22:19:32,2766,,INTEREST CREDIT,12690,SUCCESS,
145,2025-06-15 22:41:26,982,1557,NEFT,425714,SUCCESS,
146,2025-07-13 21:07:35,4274,2186,NEFT,470229,SUCCESS,
147,2025-11-12 19:26:16,1528,1325,UPI,3476,SUCCESS,
148,2025-03-24 14:56:43,281,3391,FUND TRANSFER,36037,SUCCESS,
149,2025-05-08 09:07:46,2455,4960,NEFT,57829,SUCCESS,
150,2025-05-14 02:36:34,3009,,DEPOSIT,30565,SUCCESS,
151,2025-10-14 23:34:29,2666,4542,UPI,456,SUCCESS,
152,2025-03-02 07:47:49,1664,3026,NEFT,358515,SUCCESS,
153,2025-03-23 16:24:40,4979,284,FUND TRANSFER,286314,SUCCESS,
154,2025-07-22 09:13:34,882,,ATM WITHDRAWAL,1849,SUCCESS,
155,2025-05-07 23:23:18,1552,2229,NEFT,192915,FAILED,Network Timeout
156,2025-06-26 20:10:29,3696,1651,FUND TRANSFER,14371,SUCCESS,
157,2025-05-31 20:48:36,4897,370,UPI,1632,SUCCESS,
158,2025-10-31 00:47:48,3964,,WITHDRAWAL,21736,SUCCESS,
159,2025-03-12 04:09:30,1062,1653,UPI,9292,SUCCESS,
160,2025-02-21 17:21:26,3752,4700,UPI,2994,SUCCESS,
161,2025-03-21 20:59:10,3359,3369,FUND TRANSFER,669318,SUCCESS,
162,2025-03-19 18:55:01,668,,ATM WITHDRAWAL,1455,SUCCESS,
163,2025-06-11 20:24:00,4854,2367,UPI,3139,SUCCESS,
164,2025-11-13 02:27:27,4242,2060,FUND TRANSFER,164362,SUCCESS,
165,2025-12-25 23:25:44,3096,3176,UPI,6601,SUCCESS,
166,2025-08-09 08:44:21,2516,2231,NEFT,456923,SUCCESS,
167,2025-06-07 00:21:41,4647,3387,FUND TRANSFER,435386,SUCCESS,
168,2025-04-29 21:19:09,646,,ATM WITHDRAWAL,1941,SUCCESS,
169,2025-06-27 13:53:10,1440,149,UPI,2955,SUCCESS,
170,2025-03-08 06:13:43,4624,,WITHDRAWAL,24043,SUCCESS,
171,2025-03-03 15:36:37,2800,,DEPOSIT,37106,SUCCESS,
172,2025-07-12 00:46:48,1088,,WITHDRAWAL,2548,SUCCESS,
173,2025-06-16 06:56:58,4748,4720,UPI,7209,SUCCESS,
174,2025-08-09 17:48:42,4902,,ATM WITHDRAWAL,4310,SUCCESS,
175,2025-01-31 08:35:26,2657,,ATM WITHDRAWAL,1925,SUCCESS,
176,2025-04-27 13:39:51,450,2225,NEFT,174307,SUCCESS,
177,2025-11-16 05:20:30,3554,3590,UPI,2471,SUCCESS,
178,2025-12-03 06:04:19,646,1254,UPI,9156,SUCCESS,
179,2025-01-12 19:54:39,1862,3323,NEFT,207600,SUCCESS,
180,2025-12-31 20:32:39,4606,354,FUND TRANSFER,424314,SUCCESS,
181,2025-04-22 21:36:31,3359,3643,FUND TRANSFER,277875,SUCCESS,
182,2025-11-21 09:45:24,2486,,ATM WITHDRAWAL,6912,SUCCESS,
183,2025-05-27 17:27:18,4133,,WITHDRAWAL,2976,SUCCESS,
184,2025-08-08 19:35:10,4224,,ATM WITHDRAWAL,4389,SUCCESS,
185,2025-07-02 17:02:00,4022,4669,UPI,401,SUCCESS,
186,2025-06-13 13:55:00,895,3339,IMPS,179530,SUCCESS,
187,2025-12-12 04:20:58,4218,292,IMPS,197958,SUCCESS,
188,2025-03-12 17:18:18,2964,,INTEREST CREDIT,13619,SUCCESS,
189,2025-03-18 17:27:08,4001,4620,FUND TRANSFER,919842,SUCCESS,
190,2025-09-13 20:49:09,4925,2120,IMPS,31937,SUCCESS,
191,2025-07-01 10:29:38,3196,,DEPOSIT,99547,SUCCESS,
192,2025-07-28 00:46:26,1644,,WITHDRAWAL,8520,SUCCESS,
193,2025-10-04 10:06:27,996,,INTEREST CREDIT,1174,SUCCESS,
194,2025-09-18 05:03:50,1054,,ATM WITHDRAWAL,8634,SUCCESS,
195,2025-06-30 15:37:02,2469,275,UPI,4394,SUCCESS,
196,2025-01-05 06:50:32,4419,,WITHDRAWAL,44950,SUCCESS,
197,2025-11-21 22:07:22,2277,1087,FUND TRANSFER,869927,SUCCESS,
198,2025-02-15 06:51:32,4607,1049,FUND TRANSFER,264209,SUCCESS,
199,2025-07-14 12:41:00,2054,4310,NEFT,2227,SUCCESS,
200,2025-02-19 01:22:04,2723,2125,FUND TRANSFER,607218,SUCCESS,
201,2025-07-16 05:15:02,2621,1489,UPI,2895,SUCCESS,
202,2025-11-06 14:23:07,3252,,WITHDRAWAL,18682,SUCCESS,
203,2025-08-26 14:19:29,221,3092,UPI,9737,SUCCESS,
204,2025-10-15 17:11:25,2521,120,UPI,2852,SUCCESS,
205,2025-11-13 02:15:00,673,4675,UPI,278,SUCCESS,
206,2025-02-17 16:14:42,4048,2912,NEFT,408902,SUCCESS,
207,2025-07-10 12:18:47,2932,1798,IMPS,13472,SUCCESS,
208,2025-10-17 15:52:01,2062,,ATM WITHDRAWAL,6552,SUCCESS,
209,2025-04-26 17:50:40,2053,2642,UPI,281,SUCCESS,
210,2025-02-10 08:58:05,1750,3223,UPI,1717,SUCCESS,
211,2025-08-31 19:11:54,446,,ATM WITHDRAWAL,6274,SUCCESS,
212,2025-05-11 21:59:43,2292,4344,NEFT,418613,SUCCESS,
213,2025-09-15 14:48:34,2297,2553,IMPS,120184,SUCCESS,
214,2025-04-10 07:17:41,1905,1712,UPI,9211,SUCCESS,
215,2025-01-02 12:10:16,2638,,DEPOSIT,35339,SUCCESS,
216,2025-11-17 06:36:20,3860,3252,UPI,3681,SUCCESS,
217,2025-09-11 04:26:01,2457,,DEPOSIT,97421,SUCCESS,
218,2025-09-30 11:34:22,2164,4882,NEFT,243181,SUCCESS,
219,2025-10-15 18:20:20,4863,3053,UPI,3088,SUCCESS,
220,2025-10-02 22:01:54,381,792,UPI,1772,SUCCESS,
221,2025-01-29 23:57:30,2091,,DEPOSIT,68521,SUCCESS,
222,2025-06-30 21:27:53,1110,769,UPI,2152,SUCCESS,
223,2025-11-13 23:47:15,177,4983,UPI,8858,SUCCESS,
224,2025-10-11 12:33:02,3525,3330,FUND TRANSFER,324006,SUCCESS,
225,2025-11-11 12:14:29,1606,,DEPOSIT,8732,SUCCESS,
226,2025-06-02 12:31:04,4478,,WITHDRAWAL,35679,SUCCESS,
227,2025-11-16 01:50:40,2759,,WITHDRAWAL,22116,SUCCESS,
228,2025-03-19 10:45:50,1429,,ATM WITHDRAWAL,7844,SUCCESS,
229,2025-01-03 12:35:57,4144,3657,FUND TRANSFER,199241,SUCCESS,
230,2025-01-13 00:29:01,4241,576,IMPS,117004,SUCCESS,
231,2025-05-24 10:24:41,699,2052,UPI,5239,SUCCESS,
232,2025-09-13 01:38:11,3889,,DEPOSIT,65577,SUCCESS,
233,2025-12-15 05:52:19,3909,,WITHDRAWAL,7339,SUCCESS,
234,2025-04-27 15:46:33,4020,4148,FUND TRANSFER,295004,SUCCESS,
235,2025-08-08 14:44:17,3743,3035,FUND TRANSFER,818441,SUCCESS,
236,2025-08-23 14:44:47,2095,3079,FUND TRANSFER,675932,SUCCESS,
237,2025-07-11 17:09:16,1633,,DEPOSIT,9874,SUCCESS,
238,2025-12-17 18:07:20,2599,2489,IMPS,107646,SUCCESS,
239,2025-09-23 16:59:04,3780,,DEPOSIT,4173,SUCCESS,
240,2025-07-23 15:54:22,2327,,ATM WITHDRAWAL,2735,SUCCESS,
241,2025-09-01 20:55:24,1028,,ATM WITHDRAWAL,5154,SUCCESS,
242,2025-01-19 12:02:56,301,1475,UPI,6961,SUCCESS,
243,2025-04-22 08:16:36,1189,2371,NEFT,137968,SUCCESS,
244,2025-04-21 01:12:23,3302,,ATM WITHDRAWAL,6187,SUCCESS,
245,2025-09-27 03:24:02,86,,WITHDRAWAL,4125,SUCCESS,
246,2025-10-13 15:11:07,225,,ATM WITHDRAWAL,2639,SUCCESS,
247,2025-08-12 09:50:34,242,,DEPOSIT,68649,SUCCESS,
248,2025-06-02 21:09:04,17,3538,UPI,6109,SUCCESS,
249,2025-09-28 04:49:40,3153,2070,UPI,3596,FAILED,Daily Limit Exceeded
250,2025-07-26 18:04:40,753,,WITHDRAWAL,44027,SUCCESS,
251,2025-11-27 17:30:35,2250,414,UPI,586,SUCCESS,
252,2025-12-11 00:09:18,4223,2575,IMPS,151226,SUCCESS,
253,2025-09-02 08:52:02,899,,WITHDRAWAL,20180,SUCCESS,
254,2025-06-14 01:54:37,2664,4097,FUND TRANSFER,522680,SUCCESS,
255,2025-09-30 03:44:17,655,,ATM WITHDRAWAL,4360,SUCCESS,
256,2025-10-27 04:24:15,3104,,DEPOSIT,88291,SUCCESS,
257,2025-12-31 21:37:21,4345,1320,UPI,6089,SUCCESS,
258,2025-01-20 00:35:21,2139,2406,UPI,1373,SUCCESS,
259,2025-01-20 04:47:09,4216,,DEPOSIT,21592,SUCCESS,
260,2025-08-08 08:47:12,4504,2645,IMPS,182316,SUCCESS,
261,2025-06-16 06:35:07,4045,2653,FUND TRANSFER,136608,SUCCESS,
262,2025-02-23 07:13:15,4322,4937,IMPS,60443,SUCCESS,
263,2025-06-14 09:40:36,108,2103,FUND TRANSFER,494316,SUCCESS,
264,2025-05-04 03:51:41,149,270,FUND TRANSFER,966225,SUCCESS,
265,2025-04-17 03:03:15,1073,,ATM WITHDRAWAL,1142,SUCCESS,
266,2025-12-10 03:03:17,346,719,UPI,4371,SUCCESS,
267,2025-10-19 10:17:32,2737,,ATM WITHDRAWAL,9602,SUCCESS,
268,2025-03-15 11:40:43,880,,ATM WITHDRAWAL,6887,SUCCESS,
269,2025-05-23 03:59:45,4443,584,IMPS,148886,SUCCESS,
270,2025-11-16 09:16:28,268,173,FUND TRANSFER,982003,FAILED,Insufficient Balance
271,2025-03-24 20:08:18,4756,2381,IMPS,180359,SUCCESS,
272,2025-10-05 02:00:53,2902,3354,UPI,5228,SUCCESS,
273,2025-05-24 01:08:41,2754,,WITHDRAWAL,6590,SUCCESS,
274,2025-05-10 23:07:16,4089,,WITHDRAWAL,1515,SUCCESS,
275,2025-05-20 21:12:40,3166,,ATM WITHDRAWAL,3372,SUCCESS,
276,2025-07-20 17:56:53,3507,937,FUND TRANSFER,744540,SUCCESS,
277,2025-10-17 00:01:56,1647,3636,NEFT,313467,SUCCESS,
278,2025-05-27 16:18:56,4233,2567,IMPS,74700,SUCCESS,
279,2025-01-05 23:01:22,3688,688,FUND TRANSFER,102509,SUCCESS,
280,2025-02-14 15:36:41,4869,,DEPOSIT,9433,SUCCESS,
281,2025-12-16 04:31:58,4555,3645,IMPS,125821,SUCCESS,
282,2025-03-03 09:05:21,968,3040,NEFT,270305,SUCCESS,
283,2025-06-19 21:00:44,732,,ATM WITHDRAWAL,3111,SUCCESS,
284,2025-11-25 00:50:31,430,,WITHDRAWAL,4545,SUCCESS,
285,2025-11-21 00:34:30,3118,4697,NEFT,217980,SUCCESS,
286,2025-10-30 00:40:09,3635,,WITHDRAWAL,48749,SUCCESS,
287,2025-11-23 21:50:16,883,2676,NEFT,273234,SUCCESS,
288,2025-03-04 22:55:31,4923,,DEPOSIT,80213,SUCCESS,
289,2025-06-15 13:38:24,19,3217,UPI,2852,SUCCESS,
290,2025-06-30 06:55:40,2074,,ATM WITHDRAWAL,3483,SUCCESS,
291,2025-11-24 04:44:33,2421,,WITHDRAWAL,2922,SUCCESS,
292,2025-07-31 15:47:44,4518,4019,UPI,5760,SUCCESS,
293,2025-03-25 15:44:36,4660,,DEPOSIT,91389,SUCCESS,
294,2025-04-01 15:47:57,477,,ATM WITHDRAWAL,8536,SUCCESS,
295,2025-09-24 02:30:17,194,330,UPI,3218,SUCCESS,
296,2025-02-14 03:32:23,1103,,WITHDRAWAL,11535,SUCCESS,
297,2025-12-07 13:37:21,3137,4149,UPI,5628,SUCCESS,
298,2025-05-02 12:17:42,4225,288,FUND TRANSFER,225963,SUCCESS,
299,2025-05-22 19:54:05,3256,,DEPOSIT,94211,SUCCESS,
300,2025-06-08 21:12:52,3865,469,UPI,9588,SUCCESS,
301,2025-07-29 00:26:33,631,3835,IMPS,117022,SUCCESS,
302,2025-02-25 06:59:48,3703,2018,NEFT,85869,SUCCESS,
303,2025-09-11 05:34:31,2766,2289,UPI,3186,SUCCESS,
304,2025-07-28 04:01:46,1868,,ATM WITHDRAWAL,7182,SUCCESS,
305,2025-11-28 16:34:31,214,1955,IMPS,41931,SUCCESS,
306,2025-10-24 06:16:01,3961,,WITHDRAWAL,14254,SUCCESS,
307,2025-09-08 12:08:47,2176,3689,FUND TRANSFER,934551,SUCCESS,
308,2025-04-02 11:34:32,2653,3328,NEFT,452144,SUCCESS,
309,2025-11-22 19:32:36,1972,4817,IMPS,166151,SUCCESS,
310,2025-11-17 22:09:00,3709,,ATM WITHDRAWAL,8249,SUCCESS,
311,2025-05-14 00:47:28,3531,1672,FUND TRANSFER,486763,SUCCESS,
312,2025-08-15 04:15:31,3563,,ATM WITHDRAWAL,7678,SUCCESS,
313,2025-01-05 13:56:38,4188,,INTEREST CREDIT,5672,SUCCESS,
314,2025-05-23 17:28:24,3253,273,UPI,1414,SUCCESS,
315,2025-02-12 08:56:07,2405,976,UPI,2630,SUCCESS,
316,2025-02-06 20:57:43,2078,,ATM WITHDRAWAL,8111,SUCCESS,
317,2025-05-16 21:23:38,4069,1103,FUND TRANSFER,728466,SUCCESS,
318,2025-08-11 08:01:16,2424,,ATM WITHDRAWAL,6473,SUCCESS,
319,2025-10-16 23:36:10,4971,4620,UPI,22,SUCCESS,
320,2025-10-15 11:31:07,699,2241,UPI,5127,SUCCESS,
321,2025-02-06 00:07:30,564,3615,UPI,1923,SUCCESS,
322,2025-09-10 22:57:06,3960,,WITHDRAWAL,21892,SUCCESS,
323,2025-03-06 16:13:21,2341,109,NEFT,424311,SUCCESS,
324,2025-08-15 10:26:53,2629,4427,UPI,331,SUCCESS,
325,2025-05-09 20:32:52,637,203,UPI,1196,SUCCESS,
326,2025-08-27 12:37:10,1594,3143,IMPS,95441,SUCCESS,
327,2025-10-02 22:21:20,4079,,ATM WITHDRAWAL,7122,FAILED,Account Blocked
328,2025-10-25 06:17:23,3794,,WITHDRAWAL,17147,SUCCESS,
329,2025-08-29 03:42:17,2812,1778,UPI,4306,SUCCESS,
330,2025-07-01 23:55:38,794,533,UPI,9882,SUCCESS,
331,2025-12-16 21:32:00,137,3527,IMPS,95843,SUCCESS,
332,2025-01-02 14:22:34,4318,,DEPOSIT,89353,SUCCESS,
333,2025-05-04 19:16:46,2399,440,IMPS,52266,SUCCESS,
334,2025-03-27 12:29:57,3167,,ATM WITHDRAWAL,7558,SUCCESS,
335,2025-06-24 05:56:45,4015,,ATM WITHDRAWAL,778,SUCCESS,
336,2025-06-12 17:08:50,4163,,DEPOSIT,29796,SUCCESS,
337,2025-09-15 08:52:48,2692,,ATM WITHDRAWAL,6571,SUCCESS,
338,2025-07-27 03:55:38,2829,2977,NEFT,6134,SUCCESS,
339,2025-12-15 18:57:21,991,,INTEREST CREDIT,15489,SUCCESS,
340,2025-08-11 03:34:45,1724,,DEPOSIT,21343,SUCCESS,
341,2025-10-03 12:53:16,1564,2886,UPI,1816,SUCCESS,
342,2025-08-12 11:13:10,4235,4325,NEFT,318710,FAILED,Account Blocked
343,2025-04-10 04:21:36,2929,2397,UPI,1837,SUCCESS,
344,2025-01-10 05:08:45,844,3596,UPI,7957,SUCCESS,
345,2025-12-18 13:48:52,1716,,DEPOSIT,49390,SUCCESS,
346,2025-11-02 19:35:19,2354,,WITHDRAWAL,24622,SUCCESS,
347,2025-06-08 22:08:45,907,,ATM WITHDRAWAL,5688,SUCCESS,
348,2025-11-27 11:08:30,188,494,UPI,9091,SUCCESS,
349,2025-04-05 02:00:18,4243,4123,UPI,6717,SUCCESS,
350,2025-11-20 07:22:43,1158,,WITHDRAWAL,49474,SUCCESS,
351,2025-07-26 10:38:19,2736,2218,UPI,4196,SUCCESS,
352,2025-04-25 09:40:29,3220,,WITHDRAWAL,23800,SUCCESS,
353,2025-01-17 17:04:08,1494,2975,FUND TRANSFER,124719,SUCCESS,
354,2025-09-13 08:45:04,23,,DEPOSIT,94812,SUCCESS,
355,2025-09-14 04:23:36,248,,DEPOSIT,32229,SUCCESS,
356,2025-10-18 10:36:38,4377,,DEPOSIT,37171,SUCCESS,
357,2025-07-18 01:38:12,560,,ATM WITHDRAWAL,7541,SUCCESS,
358,2025-02-11 19:27:53,1710,1449,NEFT,193046,SUCCESS,
359,2025-11-17 08:29:40,3523,,ATM WITHDRAWAL,3078,SUCCESS,
