account_id,BRANCH_CODE,customer_id,ACCOUNT_TYPE,balance,status
62,20998,17,CACOL,151000,ACTIVE
63,01012,17,SBBAS2,108100,ACTIVE
64,00234,18,CAGEN,198500,ACTIVE
65,03456,19,SB101,162100,ACTIVE
66,21554,19,TD002,223000,BLOCKED
67,21210,20,SBCHQ,310700,ACTIVE
68,00293,21,CACOL,2483000,ACTIVE
69,00844,22,SBCHQ,179200,ACTIVE
70,03093,22,SBCHQ,253400,ACTIVE
71,01512,22,SBCHQ,367500,ACTIVE
72,19012,23,TD001,1578000,ACTIVE
73,18779,23,TD001,121000,ACTIVE
74,00782,23,TD003,186000,ACTIVE
75,01173,23,TD003,1601000,ACTIVE
76,21861,24,SB101,73500,BLOCKED
77,01412,24,SBGEN,259300,ACTIVE
78,21205,24,SBBAS2,258200,ACTIVE
79,20847,24,TD002,1494000,BLOCKED
80,60148,25,SBBAS2,318300,BLOCKED
81,20854,26,SBCHQ,279200,ACTIVE
82,08901,26,SBBAS2,149800,ACTIVE
83,11234,26,SBCHQ,91900,ACTIVE
84,00945,26,TD001,1020000,ACTIVE
85,60159,26,CAGEN,125500,ACTIVE
86,20795,27,SB101,243900,ACTIVE
87,21205,27,SBBAS2,218900,ACTIVE
88,14826,27,TD001,642000,ACTIVE
89,21184,27,CAGEN,49000,ACTIVE
90,21752,27,SBGEN,58300,ACTIVE
91,00534,28,TD001,244000,ACTIVE
92,00711,28,SBGEN,23400,ACTIVE
93,00334,28,SBCHQ,244800,BLOCKED
94,01212,29,TD001,401000,ACTIVE
95,01512,29,SBGEN,300400,ACTIVE
96,12960,29,TD001,1026000,ACTIVE
97,21061,30,SBCHQ,461000,ACTIVE
98,20795,30,SBGEN,93000,ACTIVE
99,20847,30,SB101,15400,ACTIVE
100,20984,30,TD001,1154000,ACTIVE
101,21240,31,TD001,332000,ACTIVE
102,21210,31,CAGEN,157500,ACTIVE
103,00836,31,SBCHQ,47000,ACTIVE
104,01234,31,SBBAS2,191600,ACTIVE
105,20854,32,TD003,1749000,ACTIVE
106,02796,32,CACOL,1272000,ACTIVE
107,15069,32,SB101,8200,ACTIVE
108,00977,33,TD002,1910000,ACTIVE
109,31277,33,TD003,1719000,ACTIVE
110,00112,34,SBODS4,18800,ACTIVE
111,00867,34,TD001,132000,ACTIVE
112,08901,34,TD003,1292000,ACTIVE
113,00654,35,SBCHQ,264600,ACTIVE
114,15071,35,TD001,499000,ACTIVE
115,00123,36,SBGEN,328400,ACTIVE
116,70649,36,SBGEN,407600,ACTIVE
117,00941,36,SBBAS2,83800,ACTIVE
118,00255,36,SB101,60200,ACTIVE
119,01478,36,CAGEN,276500,ACTIVE
120,21205,37,SBGEN,131200,ACTIVE
121,21210,37,TD003,642000,ACTIVE
122,21291,37,SBCHQ,181200,ACTIVE
123,05744,37,TD001,984000,ACTIVE
124,00454,37,SBBAS2,274200,ACTIVE
125,20984,38,TD001,595000,ACTIVE
126,21752,38,CACOL,3254000,ACTIVE
127,01412,38,TD002,1710000,ACTIVE
128,21279,39,SBBAS2,41200,ACTIVE
129,21625,39,SBGEN,289800,ACTIVE
130,50782,39,CAGEN,305500,ACTIVE
131,1675,39,SBGEN,316100,ACTIVE
132,00836,39,TD001,868000,ACTIVE
133,00123,40,TD001,1159000,ACTIVE
134,01512,40,TD001,992000,ACTIVE
135,00551,40,SB101,68800,ACTIVE
136,00213,40,SBBAS2,76600,ACTIVE
137,00691,40,SBCHQ,66900,ACTIVE
138,21792,41,TD001,1325000,BLOCKED
139,00373,41,SBGEN,232000,ACTIVE
140,21424,42,TD003,985000,ACTIVE
141,00889,43,TD003,1788000,ACTIVE
142,01012,44,TD001,1898000,ACTIVE
143,05364,45,TD001,424000,ACTIVE
144,01112,45,TD001,1159000,ACTIVE
145,21554,46,CAGEN,204000,ACTIVE
146,05744,46,CAGEN,296000,ACTIVE
147,00844,46,TD001,1454000,ACTIVE
148,00634,47,SBCHQ,108900,ACTIVE
149,50782,47,TD003,226000,ACTIVE
150,01278,48,TD001,1231000,ACTIVE
151,01112,48,SBGEN,207200,ACTIVE
152,00941,48,SBGEN,219600,ACTIVE
153,00182,48,SBGEN,203100,ACTIVE
154,01345,49,SB101,225300,ACTIVE
155,21240,49,SBBAS2,387600,ACTIVE
156,17890,49,SBCHQ,117400,ACTIVE
157,21523,49,SBCHQ,54200,ACTIVE
158,21213,50,TD002,53000,ACTIVE
159,18901,51,SBODS4,147100,ACTIVE
160,00182,51,TD002,1111000,ACTIVE
161,20507,51,SBCHQ,115100,ACTIVE
162,00800,51,TD001,216000,ACTIVE
163,15071,52,SBCHQ,125700,ACTIVE
164,18901,52,TD001,1623000,ACTIVE
165,00678,52,TD001,361000,ACTIVE
166,50784,53,SBODS4,184300,ACTIVE
167,00691,53,SBGEN,483500,ACTIVE
168,01512,53,TD001,1927000,ACTIVE
169,40769,54,SB101,130000,ACTIVE
170,21612,54,SBCHQ,287800,ACTIVE
171,00799,54,TD001,1546000,ACTIVE
172,05744,54,SBCHQ,209500,ACTIVE
173,17921,55,TD003,210000,ACTIVE
174,01045,56,SBGEN,176100,ACTIVE
175,00901,56,TD001,1530000,ACTIVE
176,00432,56,SBCHQ,48000,ACTIVE
177,1195,56,TD001,1875000,ACTIVE
178,1980,57,TD001,1052000,ACTIVE
179,40769,57,SBGEN,4500,ACTIVE
180,00255,57,SBCHQ,484400,ACTIVE
181,00382,58,SB101,169500,ACTIVE
182,01212,58,CACOL,3617000,ACTIVE
183,00751,58,SBBAS2,467100,ACTIVE
184,00432,58,SBODS4,61100,BLOCKED
185,20795,58,TD001,867000,ACTIVE
186,01445,59,SB101,159100,ACTIVE
187,17890,60,SB101,63200,ACTIVE
188,00941,60,CAGEN,446000,ACTIVE
189,00399,60,SBGEN,260600,ACTIVE
190,1195,60,CAGEN,718000,ACTIVE
191,14166,61,TD001,728000,ACTIVE
192,01212,62,SBCHQ,106900,ACTIVE
193,00301,62,TD001,681000,ACTIVE
194,00788,63,SBBAS2,492600,ACTIVE
195,21284,63,SBGEN,23400,ACTIVE
196,00421,63,TD003,373000,ACTIVE
197,21651,64,SBBAS2,244600,ACTIVE
198,07890,64,CACOL,884000,ACTIVE
199,21651,64,SBGEN,117700,ACTIVE
200,11660,65,TD001,1138000,ACTIVE
201,00891,65,TD003,827000,ACTIVE
202,16383,65,TD001,280000,ACTIVE
203,00692,65,SBBAS2,91400,ACTIVE
204,20123,65,TD003,1354000,ACTIVE
205,00342,66,SBCHQ,479800,ACTIVE
206,21291,67,TD001,1277000,ACTIVE
207,02796,67,SB101,46100,ACTIVE
208,14171,67,SBCHQ,181000,ACTIVE
209,20998,67,CAGEN,594000,ACTIVE
210,02696,68,SBBAS2,422400,ACTIVE
211,3026,68,SBBAS2,130200,ACTIVE
212,19012,69,SB101,143700,ACTIVE
213,15678,69,CA0033,2375000,ACTIVE
214,00382,70,SBBAS2,172900,ACTIVE
215,18294,71,SBCHQ,333500,ACTIVE
216,70649,72,CACOL,3130000,ACTIVE
217,14567,72,SBGEN,267600,ACTIVE
218,00382,73,CACOL,272000,ACTIVE
219,21007,73,SBGEN,85900,ACTIVE
220,00342,73,SBBAS2,324900,ACTIVE
221,00844,73,SB101,131500,ACTIVE
222,00267,73,TD001,401000,ACTIVE
223,31346,74,SBCHQ,499200,ACTIVE
224,04816,74,SBGEN,145700,ACTIVE
225,01178,74,SB101,230000,ACTIVE
226,3026,74,TD002,1073000,ACTIVE
227,11119,74,TD003,1647000,ACTIVE
228,00478,75,SBBAS2,473800,ACTIVE
229,20123,75,SBODS4,206800,ACTIVE
230,00678,75,SB101,141400,ACTIVE
231,30142,76,TD001,1265000,ACTIVE
232,01112,76,SBBAS2,415100,ACTIVE
233,21067,77,TD003,776000,ACTIVE
234,00311,78,SBODS4,226300,ACTIVE
235,00432,79,SBBAS2,169100,ACTIVE
236,21861,80,SBGEN,382300,ACTIVE
237,01045,80,TD001,414000,ACTIVE
238,00311,80,TD001,841000,ACTIVE
239,00788,81,SBBAS2,167100,ACTIVE
240,50784,81,SBBAS2,137200,ACTIVE
241,01178,81,SBBAS2,37000,ACTIVE
242,41024,82,TD003,963000,ACTIVE
243,17890,82,SBGEN,397000,ACTIVE
244,00454,82,TD003,1667000,ACTIVE
245,00901,82,SB101,121500,ACTIVE
246,01234,82,TD003,798000,BLOCKED
247,11121,83,TD003,1414000,ACTIVE
248,05061,83,SB101,15500,ACTIVE
249,00998,83,SBCHQ,83000,ACTIVE
250,21523,83,TD002,1306000,ACTIVE
251,13456,84,TD001,445000,ACTIVE
252,20984,85,TD003,313000,ACTIVE
253,21523,86,CAGEN,651000,ACTIVE
254,14158,86,TD003,1129000,ACTIVE
255,00001,87,TD001,1562000,ACTIVE
256,16528,87,CAGEN,377000,ACTIVE
257,00691,88,SBCHQ,182000,ACTIVE
258,01245,88,TD001,1841000,ACTIVE
259,00156,88,SBBAS2,447500,ACTIVE
260,00912,88,TD001,188000,ACTIVE
261,02345,88,SBCHQ,63100,ACTIVE
262,11660,89,TD001,1308000,ACTIVE
263,00901,89,TD001,1050000,ACTIVE
264,20123,90,CAGEN,224000,ACTIVE
265,00823,91,CACOL,3503000,ACTIVE
266,18901,91,SB101,120600,ACTIVE
267,00800,91,SBGEN,407800,ACTIVE
268,00977,91,CAGEN,300500,ACTIVE
269,00912,91,CAGEN,706000,ACTIVE
270,21612,92,SB101,88800,ACTIVE
271,00282,92,CAGEN,629500,ACTIVE
272,07890,92,CACOL,4948000,ACTIVE
273,01045,92,TD002,1778000,ACTIVE
274,6854,93,SB101,231600,ACTIVE
275,00844,93,SBGEN,279000,ACTIVE
276,00112,94,TD001,1875000,ACTIVE
277,21400,94,SBGEN,444500,ACTIVE
278,05678,94,CA0033,2397000,ACTIVE
279,15678,94,SBBAS2,464700,BLOCKED
280,21651,94,TD001,968000,ACTIVE
281,1195,95,TD003,1184000,ACTIVE
282,16789,95,TD001,1067000,ACTIVE
283,00599,95,SBCHQ,345200,ACTIVE
284,16383,96,SB101,238000,ACTIVE
285,16383,96,TD003,1118000,ACTIVE
286,00244,96,TD002,258000,ACTIVE
287,04816,96,SB101,71000,ACTIVE
288,13456,97,SBCHQ,343500,BLOCKED
289,03093,97,SBODS4,59500,BLOCKED
290,18901,97,SBCHQ,428200,ACTIVE
291,21210,97,SBGEN,44600,ACTIVE
292,20984,97,SB101,89000,ACTIVE
293,05678,98,CAGEN,82500,ACTIVE
294,11723,99,TD001,1886000,ACTIVE
295,00382,99,SBCHQ,448300,ACTIVE
296,20795,99,SB101,37700,ACTIVE
297,00745,100,SBGEN,149300,ACTIVE
298,00301,101,TD003,472000,ACTIVE
299,1675,101,SBCHQ,386200,ACTIVE
300,00945,102,CAGEN,230500,ACTIVE
301,13456,102,SBGEN,266200,ACTIVE
302,20963,102,SB101,35800,ACTIVE
303,00255,103,TD001,121000,ACTIVE
304,20507,103,SBCHQ,494400,ACTIVE
305,20820,104,SBGEN,32800,ACTIVE
306,60156,104,TD001,1554000,ACTIVE
307,31277,104,TD003,941000,ACTIVE
308,16528,105,SBCHQ,463900,ACTIVE
309,04816,105,SBODS4,142400,ACTIVE
310,00891,105,SBGEN,25900,ACTIVE
311,21752,105,SBCHQ,441300,ACTIVE
312,01478,106,SBGEN,306700,ACTIVE
313,00311,106,CACOL,2435000,ACTIVE
314,15306,106,TD002,1215000,ACTIVE
315,40769,106,SBGEN,456600,ACTIVE
316,00998,106,SB101,27000,BLOCKED
317,01312,107,SBCHQ,59800,ACTIVE
318,20507,107,SBCHQ,202900,ACTIVE
319,20854,107,TD003,1412000,ACTIVE
320,21205,107,SBODS4,23000,ACTIVE
321,00234,108,TD001,1532000,ACTIVE
322,00876,108,SBGEN,172500,ACTIVE
323,00765,109,CAGEN,12000,ACTIVE
324,14158,110,SBODS4,89500,ACTIVE
325,20123,110,SBBAS2,415700,ACTIVE
326,00751,110,TD001,1131000,ACTIVE
327,20963,111,SBGEN,310000,BLOCKED
328,00234,111,CA0033,2007000,ACTIVE
329,04567,111,SBBAS2,5400,ACTIVE
330,17921,112,TD001,292000,ACTIVE
331,01345,112,SB101,30900,ACTIVE
332,14826,112,CACOL,4341000,ACTIVE
333,01045,112,SBCHQ,498500,ACTIVE
334,21205,112,TD001,542000,ACTIVE
335,00692,113,SBGEN,446600,ACTIVE
336,16383,113,SBODS4,87200,ACTIVE
337,10123,113,TD001,1592000,ACTIVE
338,00412,113,TD001,1075000,ACTIVE
339,00212,114,SBGEN,342400,BLOCKED
340,10123,114,TD003,291000,ACTIVE
341,09012,114,TD001,98000,ACTIVE
342,00182,115,SBBAS2,14600,ACTIVE
343,00432,115,SBGEN,315800,ACTIVE
344,00977,115,TD001,128000,ACTIVE
345,21400,115,SBCHQ,167900,ACTIVE
346,70649,115,TD001,1442000,ACTIVE
347,02786,116,CAGEN,837000,ACTIVE
348,11234,116,TD001,1722000,ACTIVE
349,60159,117,TD002,485000,ACTIVE
350,00454,117,SBGEN,401900,ACTIVE
351,14567,118,SBGEN,467900,ACTIVE
352,00599,118,SBCHQ,296000,ACTIVE
353,30142,118,TD001,128000,ACTIVE
354,00891,118,SBGEN,358800,ACTIVE
355,16383,119,SBCHQ,267200,ACTIVE
356,00282,119,TD001,1991000,ACTIVE
357,00691,119,SBBAS2,129700,ACTIVE
358,02696,119,CAGEN,688500,ACTIVE
359,00691,119,SBGEN,81500,BLOCKED
360,15069,120,TD003,588000,ACTIVE
361,00373,120,SBBAS2,495900,ACTIVE
362,00342,121,TD003,1238000,ACTIVE
363,00788,121,TD002,1110000,BLOCKED
364,00001,121,TD001,222000,ACTIVE
365,13456,121,SBGEN,18300,ACTIVE
366,05364,122,CAGEN,918500,ACTIVE
367,01145,122,TD003,720000,ACTIVE
368,14681,122,TD001,1316000,ACTIVE
369,21752,123,CAGEN,785000,ACTIVE
370,20963,123,SB101,228100,ACTIVE
371,20507,123,SBODS4,109800,BLOCKED
372,21205,124,SBCHQ,88400,ACTIVE
373,14171,124,TD001,670000,ACTIVE
374,00912,124,SBGEN,378700,ACTIVE
375,01441,124,TD001,244000,ACTIVE
376,00551,124,TD001,809000,ACTIVE
377,21516,125,TD001,1133000,ACTIVE
378,21651,125,SBCHQ,326400,ACTIVE
379,20123,125,SBGEN,440600,ACTIVE
380,21213,126,SBCHQ,308500,ACTIVE
381,14166,126,CACOL,3921000,ACTIVE
382,17890,126,TD001,746000,ACTIVE
383,09012,127,TD002,431000,ACTIVE
384,11660,127,SBCHQ,442700,ACTIVE
385,00889,127,SBCHQ,321600,ACTIVE
386,07890,127,TD003,241000,ACTIVE
387,21284,128,TD002,1551000,ACTIVE
388,11660,129,TD003,1887000,ACTIVE
389,20963,129,TD001,858000,ACTIVE
390,00534,129,SBGEN,347000,ACTIVE
391,00325,129,SBCHQ,389100,ACTIVE
392,00867,130,SB101,134600,ACTIVE
393,11121,130,CAGEN,986500,ACTIVE
394,00454,130,TD003,1920000,ACTIVE
395,21792,130,SBBAS2,15400,BLOCKED
396,21516,130,TD003,288000,ACTIVE
397,21240,131,SBCHQ,79000,ACTIVE
398,00325,131,SB101,22900,ACTIVE
399,21400,132,TD002,1774000,ACTIVE
400,50784,132,SBBAS2,439300,ACTIVE
401,31277,132,SBCHQ,37700,ACTIVE
402,00765,132,SBCHQ,318100,ACTIVE
403,30142,132,TD001,1451000,ACTIVE
404,00567,133,SBODS4,128500,ACTIVE
405,21213,133,SB101,128500,ACTIVE
406,14826,133,SBCHQ,14600,ACTIVE
407,70649,134,SBCHQ,35700,ACTIVE
408,00751,135,TD001,1120000,ACTIVE
409,00213,135,SBGEN,178300,ACTIVE
410,03093,135,TD001,134000,ACTIVE
411,00823,135,TD002,347000,ACTIVE
412,00255,135,SBBAS2,231400,ACTIVE
413,70649,136,TD003,813000,ACTIVE
414,21612,137,CACOL,1257000,ACTIVE
415,00692,137,CAGEN,474500,ACTIVE
416,11234,137,CACOL,1675000,ACTIVE
417,40769,137,SB101,12700,ACTIVE
418,00543,138,SBBAS2,25200,ACTIVE
419,21249,138,CAGEN,606000,ACTIVE
420,02786,138,CACOL,511000,ACTIVE
421,04567,139,CAGEN,943500,ACTIVE
422,1675,139,SBCHQ,260400,ACTIVE
423,00399,140,TD003,140000,ACTIVE
424,00751,140,TD001,1320000,ACTIVE
425,01278,140,TD001,668000,ACTIVE
426,01178,140,TD002,745000,ACTIVE
427,01145,140,TD002,1889000,ACTIVE
428,16383,141,SBCHQ,389600,ACTIVE
429,01345,141,SBCHQ,336000,ACTIVE
430,02786,141,CAGEN,229500,ACTIVE
431,16789,141,SBBAS2,60900,ACTIVE
432,15678,142,SBGEN,304300,ACTIVE
433,16383,142,SBODS4,13500,ACTIVE
434,00244,142,TD003,1529000,ACTIVE
435,00182,142,SBGEN,276900,ACTIVE
436,00978,143,TD001,99000,ACTIVE
437,20854,143,TD001,1502000,ACTIVE
438,20815,143,SBCHQ,333600,ACTIVE
439,21752,143,SBCHQ,223300,ACTIVE
440,1675,144,SB101,102500,ACTIVE
441,00244,144,TD001,1077000,ACTIVE
442,05678,145,SBGEN,474300,ACTIVE
443,00977,146,CAGEN,14500,ACTIVE
444,00876,146,SB101,107600,ACTIVE
445,21184,146,TD003,901000,ACTIVE
446,3026,146,SBGEN,359500,ACTIVE
447,21213,146,TD001,1665000,ACTIVE
448,00765,147,SBGEN,49800,ACTIVE
449,40769,147,TD003,1039000,ACTIVE
450,00692,148,SBGEN,292800,BLOCKED
451,00267,149,CAGEN,933500,ACTIVE
452,20123,149,TD001,325000,ACTIVE
453,00432,149,SBGEN,219500,ACTIVE
454,21861,149,TD001,1865000,ACTIVE
455,00156,149,SBGEN,131000,ACTIVE
456,01245,150,TD001,1595000,ACTIVE
457,1980,150,CACOL,991000,ACTIVE
458,00512,150,CAGEN,649500,ACTIVE
459,00542,150,TD002,1934000,ACTIVE
460,00491,150,CAGEN,690000,ACTIVE
461,12345,151,SBGEN,113500,ACTIVE
462,00255,152,TD001,1515000,ACTIVE
463,07890,152,SBBAS2,468600,ACTIVE
464,05364,152,SBODS4,190800,ACTIVE
465,00491,153,SBBAS2,410800,ACTIVE
466,00234,153,SBGEN,96700,ACTIVE
467,00691,153,TD003,1812000,ACTIVE
468,01445,153,SBCHQ,472800,ACTIVE
469,04816,153,SBGEN,339100,ACTIVE
470,01178,154,CA0033,2013000,ACTIVE
471,05678,155,SBGEN,13600,ACTIVE
472,21249,155,SB101,101500,ACTIVE
473,01234,155,CAGEN,981500,ACTIVE
474,00613,155,TD001,561000,ACTIVE
475,00542,156,SBGEN,157300,ACTIVE
476,00123,156,TD001,1193000,ACTIVE
477,21205,156,SB101,230300,ACTIVE
478,00678,156,SBCHQ,48200,ACTIVE
479,15071,157,SBGEN,340200,ACTIVE
480,00823,157,SB101,192500,ACTIVE
481,1980,157,SB101,16900,ACTIVE
482,00412,157,SBGEN,467500,ACTIVE
483,21400,158,TD001,1941000,ACTIVE
484,00945,158,TD002,551000,ACTIVE
485,12345,158,TD002,1726000,ACTIVE
486,60007,159,TD001,1991000,ACTIVE
487,20815,159,CAGEN,913500,ACTIVE
488,00901,159,SBCHQ,88400,ACTIVE
489,50782,159,SBODS4,241600,ACTIVE
490,01045,159,TD001,326000,ACTIVE
491,21861,160,SBBAS2,340400,ACTIVE
492,00201,160,TD001,1131000,ACTIVE
493,50869,160,SBCHQ,195500,ACTIVE
494,00656,161,TD001,1265000,ACTIVE
495,14166,161,TD001,55000,ACTIVE
496,17890,162,SBODS4,30000,ACTIVE
497,21213,162,SBCHQ,19200,ACTIVE
498,21400,162,SBGEN,148200,ACTIVE
499,21249,163,CAGEN,377500,BLOCKED
500,00634,163,TD002,665000,ACTIVE
501,01312,163,TD003,1604000,ACTIVE
502,21213,163,TD002,1543000,ACTIVE
503,01278,163,SBGEN,100300,ACTIVE
504,18779,164,CACOL,1579000,ACTIVE
505,18779,164,TD001,748000,ACTIVE
506,21861,165,TD001,928000,ACTIVE
507,60156,165,TD002,730000,ACTIVE
508,30142,165,SB101,222600,ACTIVE
509,01378,166,CACOL,4620000,ACTIVE
510,00692,167,CACOL,2214000,ACTIVE
511,18849,168,SBBAS2,286500,ACTIVE
512,00267,168,TD002,1707000,ACTIVE
513,00491,168,SBCHQ,284800,ACTIVE
514,04187,168,TD001,1143000,ACTIVE
515,3026,169,SBGEN,187700,ACTIVE
516,00543,169,TD001,1443000,ACTIVE
517,15678,170,SBCHQ,137300,ACTIVE
518,11660,171,CAGEN,428500,ACTIVE
519,17890,171,TD002,1968000,ACTIVE
520,00356,172,SB101,16500,ACTIVE
521,00856,172,TD001,1128000,BLOCKED
522,00567,172,TD003,1399000,ACTIVE
523,06789,173,TD002,1601000,ACTIVE
524,00342,173,TD003,1147000,ACTIVE
525,00123,173,SBGEN,489900,ACTIVE
526,00889,173,TD001,476000,ACTIVE
527,21523,173,CA0033,776000,ACTIVE
528,50782,174,TD001,683000,BLOCKED
529,04187,174,SB101,203900,ACTIVE
530,00812,174,SBBAS2,291900,ACTIVE
531,00399,174,SBCHQ,152100,ACTIVE
532,21651,175,SBGEN,227700,ACTIVE
533,60159,175,TD001,783000,ACTIVE
534,21651,175,TD001,80000,BLOCKED
535,00356,175,TD002,754000,ACTIVE
536,00765,175,TD001,1926000,ACTIVE
537,21406,176,TD003,1879000,ACTIVE
538,18901,176,SBGEN,22100,ACTIVE
539,20123,177,SBBAS2,104700,ACTIVE
540,14171,177,SBCHQ,347300,ACTIVE
541,19012,178,TD002,576000,ACTIVE
542,21067,178,SBGEN,499000,ACTIVE
543,01441,178,TD003,1821000,ACTIVE
544,21279,179,TD001,849000,ACTIVE
545,14567,179,CAGEN,849000,ACTIVE
546,21067,179,SBBAS2,169100,ACTIVE
547,00301,180,SBCHQ,413900,ACTIVE
548,01178,181,TD001,993000,ACTIVE
549,01245,181,CAGEN,639500,ACTIVE
550,60159,181,SB101,33200,ACTIVE
551,00765,182,SBGEN,179200,ACTIVE
552,21406,182,SBCHQ,116900,ACTIVE
553,21424,182,SB101,1100,ACTIVE
554,14826,182,TD003,1271000,ACTIVE
555,21205,182,TD003,1915000,ACTIVE
556,00212,183,TD001,172000,ACTIVE
557,01212,184,SBBAS2,394100,ACTIVE
558,18294,185,SBBAS2,59500,ACTIVE
559,20998,185,CA0033,2828000,ACTIVE
560,18779,185,SBCHQ,142400,BLOCKED
561,20963,185,TD003,332000,BLOCKED
562,14567,185,SB101,127800,ACTIVE
563,21067,186,SBGEN,32800,ACTIVE
564,02696,186,TD001,1232000,ACTIVE
565,20963,187,CAGEN,621000,ACTIVE
566,00941,187,CAGEN,719500,ACTIVE
567,3026,188,SBGEN,422500,BLOCKED
568,50869,188,SBGEN,81600,ACTIVE
569,15678,188,TD001,317000,ACTIVE
570,00978,189,SBODS4,200100,ACTIVE
571,00201,189,SBBAS2,347000,ACTIVE
572,01173,190,SBCHQ,369900,ACTIVE
573,01345,191,SBGEN,471100,ACTIVE
574,1980,191,SBBAS2,35900,ACTIVE
575,3026,191,CA0033,2332000,ACTIVE
576,12345,192,TD002,645000,ACTIVE
577,00356,192,TD001,1256000,ACTIVE
578,01512,193,TD001,399000,BLOCKED
579,00293,193,SBGEN,45100,ACTIVE
580,00711,193,SBBAS2,320600,ACTIVE
581,31346,193,SBBAS2,286100,ACTIVE
582,00800,194,SB101,26600,ACTIVE
583,18294,195,CAGEN,824500,ACTIVE
584,12345,195,SB101,116000,ACTIVE
585,6854,195,TD001,860000,BLOCKED
586,00255,195,TD003,1687000,ACTIVE
587,21284,196,TD001,411000,ACTIVE
588,50784,196,TD001,768000,ACTIVE
589,00282,197,SBBAS2,41600,ACTIVE
590,21210,197,TD003,424000,BLOCKED
591,12960,197,SBBAS2,434000,ACTIVE
592,00691,198,SBGEN,385900,ACTIVE
593,01245,198,TD001,979000,ACTIVE
594,00978,198,SB101,72800,ACTIVE
595,21251,199,TD001,1599000,ACTIVE
596,21067,199,CACOL,4339000,ACTIVE
597,20984,199,TD003,746000,BLOCKED
598,00788,200,SBODS4,111800,ACTIVE
599,70649,200,TD003,840000,ACTIVE
600,21651,201,CAGEN,666000,ACTIVE
601,00691,202,SBGEN,381800,ACTIVE
602,40769,203,TD003,1534000,ACTIVE
603,00112,204,CAGEN,132000,ACTIVE
604,1980,204,CAGEN,810500,ACTIVE
605,40769,204,SBGEN,472300,ACTIVE
606,00412,204,SBCHQ,89700,ACTIVE
607,00412,204,TD001,273000,ACTIVE
608,12345,205,SB101,89700,ACTIVE
609,20591,205,SBBAS2,22100,ACTIVE
610,30142,205,SBCHQ,158000,ACTIVE
611,31346,206,SBODS4,148200,ACTIVE
612,01145,206,SBGEN,263500,ACTIVE
613,01145,206,TD001,850000,ACTIVE
614,20847,206,SBCHQ,367700,ACTIVE
615,15071,206,CACOL,1531000,ACTIVE
616,21205,207,CA0033,859000,ACTIVE
617,00876,208,TD001,576000,ACTIVE
618,18849,208,SBBAS2,229200,ACTIVE
